timestamp,humedad_ambiente
2025-06-17 19:01:35,61.2
2025-06-17 19:01:37,61.1
2025-06-17 19:01:39,61.2
2025-06-17 19:01:41,61.2
2025-06-17 19:01:43,61.2
2025-06-17 19:01:45,61.2
2025-06-17 19:01:47,61.2
2025-06-17 19:01:49,61.2
2025-06-17 19:01:51,61.2
2025-06-17 19:01:53,61.2
2025-06-17 19:01:55,61.2
2025-06-17 19:01:57,61.2
2025-06-17 19:01:59,61.2
2025-06-17 19:02:01,61.1
2025-06-17 19:02:03,61.2
2025-06-17 19:02:05,61.1
2025-06-17 19:02:07,61.1
2025-06-17 19:02:09,61.0
2025-06-17 19:02:11,61.0
2025-06-17 19:02:13,61.0
2025-06-17 19:02:15,61.0
2025-06-17 19:02:17,61.0
2025-06-17 19:02:19,60.9
2025-06-17 19:02:21,60.9
2025-06-17 19:02:23,60.8
2025-06-17 19:02:25,60.8
2025-06-17 19:02:27,60.8
2025-06-17 19:02:29,60.8
2025-06-17 19:02:31,60.7
2025-06-17 19:02:33,60.6
2025-06-17 19:02:35,60.6
2025-06-17 19:02:37,60.5
2025-06-17 19:02:39,60.5
2025-06-17 19:02:41,60.5
2025-06-17 19:02:43,60.5
2025-06-17 19:02:45,60.4
2025-06-17 19:02:47,60.4
2025-06-17 19:02:49,60.4
2025-06-17 19:02:51,60.3
2025-06-17 19:02:53,60.3
2025-06-17 19:02:55,60.2
2025-06-17 19:02:57,60.2
2025-06-17 19:02:59,60.2
2025-06-17 19:03:01,60.2
2025-06-17 19:03:03,60.2
2025-06-17 19:03:05,60.2
2025-06-17 19:03:07,60.2
2025-06-17 19:03:09,60.3
2025-06-17 19:03:11,60.4
2025-06-17 19:03:13,60.5
2025-06-17 19:03:15,60.4
2025-06-17 19:03:17,60.5
2025-06-17 19:03:19,60.5
2025-06-17 19:03:21,60.5
2025-06-17 19:03:23,60.5
2025-06-17 19:03:25,60.4
2025-06-17 19:03:27,60.5
2025-06-17 19:03:29,60.4
2025-06-17 19:03:31,60.4
2025-06-17 19:03:33,60.5
2025-06-17 19:03:35,60.4
2025-06-17 19:03:37,60.5
2025-06-17 19:03:39,60.5
2025-06-17 19:03:41,60.6
2025-06-17 19:03:43,60.6
2025-06-17 19:03:45,60.7
