timestamp,temperatura
2025-06-18 05:26:33,14.8
2025-06-18 05:26:36,14.7
2025-06-18 05:26:37,14.8
2025-06-18 05:26:39,14.8
2025-06-18 05:26:41,14.8
2025-06-18 05:26:43,14.8
2025-06-18 05:26:45,14.8
2025-06-18 05:26:47,14.8
2025-06-18 05:26:49,14.8
2025-06-18 05:26:51,14.8
2025-06-18 05:26:52,14.8
2025-06-18 05:26:55,14.8
2025-06-18 05:26:57,14.8
2025-06-18 05:26:58,14.8
2025-06-18 05:27:01,14.8
2025-06-18 05:27:02,14.8
2025-06-18 05:27:05,14.7
2025-06-18 05:27:06,14.8
2025-06-18 05:27:09,14.8
2025-06-18 05:27:11,14.8
2025-06-18 05:27:13,14.8
2025-06-18 05:27:15,14.8
2025-06-18 05:27:17,14.8
2025-06-18 05:27:19,14.8
2025-06-18 05:27:21,14.8
2025-06-18 05:27:23,14.8
2025-06-18 05:27:25,14.8
2025-06-18 05:27:27,14.7
2025-06-18 05:27:29,14.8
2025-06-18 05:27:31,14.7
2025-06-18 05:27:33,14.8
2025-06-18 05:27:35,14.7
2025-06-18 05:27:37,14.8
2025-06-18 05:27:39,14.7
2025-06-18 05:27:41,14.7
2025-06-18 05:27:44,14.8
2025-06-18 05:27:45,14.8
2025-06-18 05:27:47,14.8
2025-06-18 05:27:49,14.8
2025-06-18 05:27:50,14.8
2025-06-18 05:27:53,14.8
2025-06-18 05:27:55,14.8
2025-06-18 05:27:56,14.8
2025-06-18 05:27:59,14.7
2025-06-18 05:28:01,14.7
2025-06-18 05:28:03,14.8
2025-06-18 05:28:05,14.8
2025-06-18 05:28:07,14.8
2025-06-18 05:28:09,14.8
2025-06-18 05:28:11,14.7
2025-06-18 05:28:13,14.8
2025-06-18 05:28:15,14.7
2025-06-18 05:28:17,14.8
2025-06-18 05:28:19,14.8
2025-06-18 05:28:21,14.8
2025-06-18 05:28:23,14.8
2025-06-18 05:28:26,14.8
2025-06-18 05:28:28,14.8
2025-06-18 05:28:30,14.7
2025-06-18 05:28:31,14.8
2025-06-18 05:28:33,14.8
2025-06-18 05:28:35,14.8
2025-06-18 05:28:37,14.8
2025-06-18 05:28:39,14.8
2025-06-18 05:28:41,14.8
2025-06-18 05:28:43,14.7
2025-06-18 05:28:45,14.7
